nombre,fecha y hora,tempmáx,tempmín,temp,sensación térmica máxima,sensación térmica mínima,sensación térmica,rocío,humedad,precipitación,probabilidad de precipitación,cobertura de precipitación,tipo de precipitación,nieve,profundidad de nieve,ráfaga de viento,velocidad del viento,dirección del viento,presión del nivel del mar,nubosidad,visibilidad,radiación solar,energía solar,índice UV,riesgo severo,amanecer,atardecer,fase lunar,condiciones,descripción,icono,estaciones
Houston,2024-01-01,64.2,50.2,59.5,64.2,50.2,59.5,52.8,79.2,0.959,100,33.33,rain,0,0,19.9,14.7,6.8,1022.3,94.7,6.7,50.0,4.3,3,,2024-01-01T07:17:03,2024-01-01T17:33:09,0.69,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,D0326"
Houston,2024-01-02,52.3,43.1,48.0,52.3,37.0,44.8,40.1,74.2,0.321,100,16.67,rain,0,0,32.8,24.5,77.7,1021.7,96.5,9.0,33.7,2.9,2,,2024-01-02T07:17:17,2024-01-02T17:33:52,0.72,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"KHOU,72059400188,KMCJ,72244012918,D0326"
Houston,2024-01-03,57.3,44.8,49.8,57.3,38.5,46.8,44.2,82.0,0.722,100,16.67,rain,0,0,39.2,23.2,14.4,1018.8,65.6,9.2,54.9,4.8,6,,2024-01-03T07:17:30,2024-01-03T17:34:36,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
Houston,2024-01-04,59.3,44.8,52.4,59.3,40.2,50.9,41.2,67.2,0.0,0,0.0,,0,0,34.0,23.8,104.2,1019.1,32.7,9.9,48.1,4.1,6,,2024-01-04T07:17:41,2024-01-04T17:35:20,0.78,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,D0326"
Houston,2024-01-05,61.1,48.6,55.2,61.1,42.8,55.0,48.5,80.1,1.131,100,37.5,rain,0,0,33.2,23.3,34.8,1010.1,61.5,8.0,42.3,3.7,6,,2024-01-05T07:17:50,2024-01-05T17:36:05,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KHOU,72059400188,KMCJ,72244012918,D0326"
Houston,2024-01-06,61.3,45.8,53.8,61.3,44.0,53.0,42.3,67.6,0.0,0,0.0,,0,0,14.1,11.8,327.9,1013.6,27.5,9.6,40.0,3.4,3,,2024-01-06T07:17:58,2024-01-06T17:36:51,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KMCJ,72244012918,D0326"
Houston,2024-01-07,59.3,47.7,53.6,59.3,44.5,52.8,41.9,66.0,0.0,0,0.0,,0,0,27.7,22.1,109.5,1019.2,47.2,9.4,55.7,4.9,4,,2024-01-07T07:18:04,2024-01-07T17:37:37,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KMCJ,72244012918,D0326"
Houston,2024-01-08,73.6,50.4,60.9,73.6,50.4,60.9,56.1,84.6,0.508,100,58.33,rain,0,0,42.9,27.2,147.3,1005.0,97.7,7.0,28.2,2.4,2,,2024-01-08T07:18:08,2024-01-08T17:38:25,0.91,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,D0326"
Houston,2024-01-09,55.5,43.0,49.3,55.5,33.2,46.0,25.5,40.1,0.026,100,12.5,rain,0,0,49.4,30.3,301.6,1011.2,27.2,9.7,38.3,3.2,6,,2024-01-09T07:18:11,2024-01-09T17:39:12,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,D0326"
Houston,2024-01-10,66.5,46.9,56.7,66.5,41.1,55.1,37.2,49.4,0.0,0,0.0,,0,0,27.7,17.7,194.6,1011.9,42.4,9.9,46.7,4.1,6,,2024-01-10T07:18:13,2024-01-10T17:40:01,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,D0326"
Houston,2024-01-11,73.9,59.0,66.5,73.9,59.0,66.5,61.9,85.9,0.0,0,0.0,,0,0,34.2,27.0,178.7,1006.5,81.9,6.9,40.9,3.6,3,,2024-01-11T07:18:12,2024-01-11T17:40:50,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KMCJ,72244012918,D0326"
Houston,2024-01-12,70.0,44.5,56.4,70.0,41.8,55.3,34.5,47.2,0.002,100,4.17,rain,0,0,46.6,33.0,298.8,1009.5,45.7,8.4,50.3,4.2,6,,2024-01-12T07:18:10,2024-01-12T17:41:39,0.04,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"KHOU,72059400188,KMCJ,72244012918,D0326"
