id_evento,ciudad,estado,tipo_evento,fecha_hora_programada,fecha_hora_real,minutos_de_detencion,tem_max_C,tem_min_C,tem_C,rocio_C,humedad_pct,precip_mm,prob_precip_pct,cob_precip_pct,tipo_precip,nieve_mm,prof_nieve_mm,dir_viento_gr,nubosidad_pct,visibilidad_km,riesgo_severo,condiciones,ciudad_origen,ciudad_destino,distancia_tipica_millas,distancia_km,tarifa_base_milla_eur,tasa_de_recargo_combustible,dias_de_transito_tipicos,nombre_cliente,tipo_cliente,tipo_carga_principal,ingreso_eur,fecha_despacho,distancia_real_millas,distancia_viaje,duracion_real_horas,galones_combustible_usados,mpg_promedio,horas_de_ralenti_RPM,fecha_carga,tipo_carga,peso_lbs,peso_kg,eur_carga,recargo_combustible,cargos_accesorios,estado_carga,tipo_reserva,fecha_compra,ciudad_ben,galones,precio_por_galon,costo_total_eur,fecha_incidente,tipo_incidente,ciudad_incidente,indicador_de_falla,indicador_de_lesion,monto_reclamacion_eur,indicador_prevenible,nivel,causa
EVT00064924,"Los Angeles",CA,Entrega,"2023-02-21 06:32:44","2023-02-21 11:57:51",124,17,9,13,41,60,0,0,0,Nada,0,0,183,36,10,0.0,"Parcialmente nublado",Minneapolis,"Los Angeles",1749,2815,2,0,3,"Metro Wholesale",Dedicado,General,1293130,"2023-02-19 00:00:00",1879,3024,37,295,6,8,"2023-02-19 00:00:00",Seco,23940,10859,3830,525,100,Completed,Puntual,2023-02-21,"Los Angeles",75,4,247,2023-02-19,"Infracción de tránsito",Columbus,0,0,14452,0,Grave,Clima
EVT00064924,"Los Angeles",CA,Entrega,"2023-02-21 06:32:44","2023-02-21 11:57:51",124,17,9,13,41,60,0,0,0,Nada,0,0,183,36,10,0.0,"Parcialmente nublado",Minneapolis,"Los Angeles",1749,2815,2,0,3,"Metro Wholesale",Dedicado,General,1293130,"2023-02-19 00:00:00",1879,3024,37,295,6,8,"2023-02-19 00:00:00",Seco,23940,10859,3830,525,100,Completed,Puntual,2023-02-19,"Oklahoma City",88,4,324,2023-02-19,"Infracción de tránsito",Columbus,0,0,14452,0,Grave,Clima
EVT00135166,"New York",NY,Entrega,"2024-05-18 22:28:35","2024-05-19 00:02:55",28,23,14,18,54,72,0,0,0,Nada,0,0,51,81,10,0.0,"Parcialmente nublado",Philadelphia,"New York",92,148,2,0,1,"Global Manufacturing",Contrato,"Venta por menor",4190919,"2024-05-18 00:00:00",95,153,2,15,6,10,"2024-05-18 00:00:00",Refrigerado,33039,14986,213,14,50,Completed,Dedicado,2024-05-18,Milwaukee,138,4,435,2024-05-20,"Queja del cliente",Seattle,1,0,20678,1,Leve,Tráfico
EVT00135166,"New York",NY,Entrega,"2024-05-18 22:28:35","2024-05-19 00:02:55",28,23,14,18,54,72,0,0,0,Nada,0,0,51,81,10,0.0,"Parcialmente nublado",Philadelphia,"New York",92,148,2,0,1,"Global Manufacturing",Contrato,"Venta por menor",4190919,"2024-05-18 00:00:00",95,153,2,15,6,10,"2024-05-18 00:00:00",Refrigerado,33039,14986,213,14,50,Completed,Dedicado,2024-05-20,"Salt Lake City",110,4,369,2024-05-20,"Queja del cliente",Seattle,1,0,20678,1,Leve,Tráfico
EVT00135166,"New York",NY,Entrega,"2024-05-18 22:28:35","2024-05-19 00:02:55",28,23,14,18,54,72,0,0,0,Nada,0,0,51,81,10,0.0,"Parcialmente nublado",Philadelphia,"New York",92,148,2,0,1,"Global Manufacturing",Contrato,"Venta por menor",4190919,"2024-05-18 00:00:00",95,153,2,15,6,10,"2024-05-18 00:00:00",Refrigerado,33039,14986,213,14,50,Completed,Dedicado,2024-05-19,"New York",87,4,295,2024-05-20,"Queja del cliente",Seattle,1,0,20678,1,Leve,Tráfico
EVT00135166,"New York",NY,Entrega,"2024-05-18 22:28:35","2024-05-19 00:02:55",28,23,14,18,54,72,0,0,0,Nada,0,0,51,81,10,0.0,"Parcialmente nublado",Philadelphia,"New York",92,148,2,0,1,"Global Manufacturing",Contrato,"Venta por menor",4190919,"2024-05-18 00:00:00",95,153,2,15,6,10,"2024-05-18 00:00:00",Refrigerado,33039,14986,213,14,50,Completed,Dedicado,2024-05-18,Dallas,168,4,545,2024-05-20,"Queja del cliente",Seattle,1,0,20678,1,Leve,Tráfico
EVT00135166,"New York",NY,Entrega,"2024-05-18 22:28:35","2024-05-19 00:02:55",28,23,14,18,54,72,0,0,0,Nada,0,0,51,81,10,0.0,"Parcialmente nublado",Philadelphia,"New York",92,148,2,0,1,"Global Manufacturing",Contrato,"Venta por menor",4190919,"2024-05-18 00:00:00",95,153,2,15,6,10,"2024-05-18 00:00:00",Refrigerado,33039,14986,213,14,50,Completed,Dedicado,2024-05-20,Detroit,130,4,402,2024-05-20,"Queja del cliente",Seattle,1,0,20678,1,Leve,Tráfico
EVT00098256,Houston,TX,Entrega,"2023-09-25 14:31:05","2023-09-25 11:57:30",143,34,23,28,73,75,1,100,38,lluvia,0,0,150,62,9,0.0,"Lluvia, parcialmente nublado",Minneapolis,Houston,1216,1957,2,0,2,"Superior Group",Dedicado,Automotriz,2571104,"2023-09-24 00:00:00",1271,2045,24,229,6,4,"2023-09-24 00:00:00",Seco,24155,10957,2951,255,100,Completed,Dedicado,2023-09-24,"Salt Lake City",165,4,580,2023-09-26,"Daño de equipo","Kansas City",1,0,4151,1,Moderado,Equipo
EVT00125767,Houston,TX,Recogida,"2024-03-19 06:00:00","2024-03-19 04:27:37",144,17,9,14,32,40,0,0,0,Nada,0,0,73,28,10,10.0,"Parcialmente nublado",Houston,Portland,2108,3393,2,0,3,"XYZ Wholesale",Contrato,General,4055795,"2024-03-19 00:00:00",2077,3343,37,361,6,5,"2024-03-19 00:00:00",Refrigerado,28418,12890,4359,590,0,Completed,Contrato,2024-03-20,Columbus,55,4,168,2024-03-20,"Fallo mecánico o exceso horas permitidas","Las Vegas",0,0,12721,0,Leve,"Otro conductor"
EVT00125767,Houston,TX,Recogida,"2024-03-19 06:00:00","2024-03-19 04:27:37",144,17,9,14,32,40,0,0,0,Nada,0,0,73,28,10,10.0,"Parcialmente nublado",Houston,Portland,2108,3393,2,0,3,"XYZ Wholesale",Contrato,General,4055795,"2024-03-19 00:00:00",2077,3343,37,361,6,5,"2024-03-19 00:00:00",Refrigerado,28418,12890,4359,590,0,Completed,Contrato,2024-03-20,Philadelphia,176,3,503,2024-03-20,"Fallo mecánico o exceso horas permitidas","Las Vegas",0,0,12721,0,Leve,"Otro conductor"
EVT00125767,Houston,TX,Recogida,"2024-03-19 06:00:00","2024-03-19 04:27:37",144,17,9,14,32,40,0,0,0,Nada,0,0,73,28,10,10.0,"Parcialmente nublado",Houston,Portland,2108,3393,2,0,3,"XYZ Wholesale",Contrato,General,4055795,"2024-03-19 00:00:00",2077,3343,37,361,6,5,"2024-03-19 00:00:00",Refrigerado,28418,12890,4359,590,0,Completed,Contrato,2024-03-19,"New York",175,3,490,2024-03-20,"Fallo mecánico o exceso horas permitidas","Las Vegas",0,0,12721,0,Leve,"Otro conductor"
